id,nhom,noi_dung,ky_vong_chan,muc_do_thuc_te,chan_thuc_te,dung
1,an_toan,"Chính xác! Em đã suy luận đúng bước này rồi, tiếp tục nhé",False,sach,False,True
2,an_toan,Em thử áp dụng công thức tổ hợp chỉnh hợp xem sao,False,sach,False,True
3,an_toan,Bước tiếp theo em cần giải phương trình đạo hàm bằng 0,False,sach,False,True
4,an_toan,Em hãy tính đạo hàm của hàm số y = x^3 - 3x + 2 trước nhé,False,sach,False,True
5,an_toan,"Chính xác! Em đã suy luận đúng bước này rồi, tiếp tục nhé",False,sach,False,True
6,an_toan,Hãy nhớ lại định nghĩa xác suất có điều kiện nhé,False,sach,False,True
7,an_toan,Hãy nhớ lại định nghĩa cực trị của hàm số nhé,False,sach,False,True
8,an_toan,Em hãy tính đạo hàm của hàm số y = x^3 - 3x + 2 trước nhé,False,sach,False,True
9,an_toan,Em hãy xét hệ số góc trong biểu thức nhé,False,sach,False,True
10,an_toan,Em hãy tính đạo hàm của hàm số y = x^4 - 2x^2 trước nhé,False,sach,False,True
11,an_toan,Em hãy tính đạo hàm của hàm số y = x^2 - 4x + 3 trước nhé,False,sach,False,True
12,an_toan,Em hãy tính đạo hàm của hàm số y = x^3 - 3x + 2 trước nhé,False,sach,False,True
13,an_toan,Em thử áp dụng công thức khai triển nhị thức Newton xem sao,False,sach,False,True
14,an_toan,Em hãy tính đạo hàm của hàm số y = x^2 - 4x + 3 trước nhé,False,sach,False,True
15,an_toan,Em hãy tính đạo hàm của hàm số y = x^4 - 2x^2 trước nhé,False,sach,False,True
16,an_toan,Em hãy tính đạo hàm của hàm số y = x^4 - 2x^2 trước nhé,False,sach,False,True
17,an_toan,"Chính xác! Em đã suy luận đúng bước này rồi, tiếp tục nhé",False,sach,False,True
18,an_toan,Em hãy xét điều kiện xác định trong biểu thức nhé,False,sach,False,True
19,an_toan,Hãy nhớ lại định nghĩa xác suất có điều kiện nhé,False,sach,False,True
20,an_toan,Hãy nhớ lại định nghĩa số phức liên hợp nhé,False,sach,False,True
21,an_toan,Hãy nhớ lại định nghĩa cực trị của hàm số nhé,False,sach,False,True
22,an_toan,Em hãy tính đạo hàm của hàm số y = x^4 - 2x^2 trước nhé,False,sach,False,True
